No.       freqHz          detadB
438         21500000000.0         163.00
439         21550000000.0         163.00
440         21600000000.0         165.00
441         21650000000.0         165.00
442         21700000000.0         164.00
443         21750000000.0         164.00
444         21800000000.0         164.00
445         21850000000.0         162.00
446         21900000000.0         160.00
447         21950000000.0         159.00
448         22000000000.0         160.00
449         22050000000.0         160.00
450         22100000000.0         160.00
451         22150000000.0         158.00
452         22200000000.0         156.00
453         22250000000.0         155.00
454         22300000000.0         156.00
455         22350000000.0         157.00
456         22400000000.0         157.00
457         22450000000.0         157.00
458         22500000000.0         156.00
459         22550000000.0         156.00
460         22600000000.0         154.00
461         22650000000.0         161.00
462         22700000000.0         162.00
463         22750000000.0         164.00
464         22800000000.0         164.00
465         22850000000.0         162.00
466         22900000000.0         159.00
467         22950000000.0         159.00
468         23000000000.0         156.00
469         23050000000.0         156.00
470         23100000000.0         151.00
471         23150000000.0         151.00
472         23200000000.0         151.00
473         23250000000.0         147.00
474         23300000000.0         146.00
475         23350000000.0         141.00
476         23400000000.0         141.00
477         23450000000.0         140.00
478         23500000000.0         112.00
479         23550000000.0         111.00
480         23600000000.0         112.00
481         23633750000.1         111.00
482         23683750000.0         111.00
483         23733750000.0         111.00
484         23783750000.0         111.00
485         23833750000.0         111.00
486         23883750000.0         111.00
487         23933750000.0         111.00
488         23983750000.0         111.00
489         24033750000.0         111.00
490         24083750000.0         111.00
491         24133750000.0         111.00
492         24183750000.0         111.00
493         24233750000.0         111.00
494         24283750000.0         111.00
495         24333750000.0         111.00
496         24383750000.0         111.00
497         24433750000.0         111.00
498         24483750000.0         112.00
499         24533750000.0         111.00
500         24583750000.0         112.00
501         24633750000.0         112.00
502         24683750000.0         111.00
503         24733750000.0         112.00
504         24783750000.0         111.00
505         24833750000.0         112.00
506         24883750000.0         111.00
507         24933750000.0         111.00
508         24983750000.0         111.00
509         25033750000.0         112.00
510         25083750000.0         111.00
511         25133750000.0         111.00
512         25183750000.0         111.00
513         25233750000.0         111.00
514         25283750000.0         112.00
515         25333750000.0         112.00
516         25383750000.0         112.00
517         25433750000.0         111.00
518         25483750000.0         111.00
519         25533750000.0         112.00
520         25583750000.0         111.00
521         25633750000.0         111.00
522         25683750000.0         111.00
523         25733750000.0         111.00
524         25783750000.0         111.00
525         25833750000.0         112.00
526         25883750000.0         112.00
527         25933750000.0         112.00
528         25983750000.0         111.00
529         26033750000.0         111.00
530         26083750000.0         111.00
531         26133750000.0         112.00
532         26183750000.0         112.00
533         26233750000.0         112.00
534         26283750000.0         112.00
535         26333750000.0         111.00
536         26383750000.0         111.00
537         26433750000.0         111.00
538         26484000000.0         112.00
539         26500000000.0         111.00
540         26500000000.1         112.00
541         26550000000.0         112.00
542         26600000000.0         112.00
543         26650000000.0         111.00
544         26700000000.0         111.00
545         26750000000.0         111.00
546         26800000000.0         111.00
547         26850000000.0         111.00
